id;label;type;code
Q15;Africa;cont;CO_AFR
Q828;Americas;cont;CO_AMR
Q48;Asia;cont;CO_ASI
Q46;Europe;cont;CO_EUR
Q538;Insular Oceania;cont;CO_OCE
Q51;Antarctica;cont;CO_ANT
Q5401;Eurasia;cont;CO_ERA
Q1070940;Asia-Pacific;cont;CO_ASI_pacif
Q2271241;Euroméditerranée;cont;CO_EUR_medit
Q60140;Indian subcontinent;cont;CO_ASI_ind
Q27433;Central Africa;cont;CO_AFR_centr
Q27407;East Africa;cont;CO_AFR_east
Q27381;North Africa;cont;CO_AFR_north
Q4412;West Africa;cont;CO_AFR_west
Q210682;French West Africa;cont;CO_AFR_frenc
Q132959;Sub-Saharan Africa;cont;CO_AFR_ssahr
Q27394;Southern Africa;cont;CO_AFR_south
Q27611;Central America;cont;CO_AMR_centr
Q12585;Latin America;cont;CO_AMR_latin
Q49;North America;cont;CO_AMR_north
Q2017699;Northern America;cont;CO_AMR_north
Q18;South America;cont;CO_AMR_south
Q27275;Central Asia;cont;CO_ASI_centr
Q27231;East Asia;cont;CO_ASI_east
Q12824780;Asia Minor;cont;CO_ASI_minor
Q27293;Western Asia;cont;CO_ASI_south_west
Q771405;South Asia;cont;CO_ASI_south
Q11708;Southeast Asia;cont;CO_ASI_south_east
Q27509;Central Europe;cont;CO_EUR_centr
Q900636;Central and Eastern Europe;cont;CO_EUR_centr_east
Q16389571;East-Central Europe;cont;CO_EUR_east
Q27468;Eastern Europe;cont;CO_EUR_east_centr
Q27479;Northern Europe;cont;CO_EUR_north
Q27496;Western Europe;cont;CO_EUR_west
Q27449;Southern Europe;cont;CO_EUR_south
Q263686;Southeast Europe;cont;CO_EUR_south_east
Q66065;Sahel;land;LA_sahel
Q6583;Sahara;land;LA_sahara
Q2841453;Amazonia;land;LA_amazon
Q5456;Andes;land;LA_anden
Q1286;Alps;land;LA_alpen
Q5463;Rocky Mountains;land;LA_rocky
Q18869;Caucasus;land;LA_cauca
Q5451;Himalayas;land;LA_himal
Q23522;Balkans;land;LA_balka
Q503282;Mashriq;land;LA_maghr
Q28227;Maghreb;land;LA_mashr
Q7204;Middle East;land;LA_east_middle
Q48214;Near East;land;LA_east_near
Q21195;Scandinavia;land;LA_scand
Q664609;Caribbean;sea;SE_carai
Q166131;Antilles;sea;SE_antil
Q93259;Lesser Antilles;sea;SE_antil_small
Q128011;Greater Antilles;sea;SE_antil_great
Q37394;Melanesia;sea;SE_melan
Q35942;Polynesia;sea;SE_polyn
Q3359409;Micronesia;sea;SE_micro
Q97;Atlantic Ocean;sea;SE_atlan
Q98;Pacific Ocean;sea;SE_pacif
Q1239;Indian Ocean;sea;SE_india
Q37660;South China Sea;sea;SE_china_south
Q45341;East China Sea;sea;SE_china_east
Q4918;Mediterranean Sea;sea;SE_medit
Q34675;Persian Gulf;sea;SE_persi
Q166;Black Sea;sea;SE_black
Q25322;Arctic;sea;SE_arcti
Q7159;African Union;org;OR_AfrUn
Q7172;Arab League;org;OR_ArLig
Q7768;ASEAN;org;OR_Asean
Q776874;Asia Cooperation Dialogue;org;OR_ACD
Q170481;Asia-Pacific Economic Cooperation;org;OR_APEC
Q1147937;Association of Caribbean States;org;OR_ACS
Q795985;Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation;org;OR_Benga
Q2655795;British–Irish Council;org;OR_BrIri
Q96053693;Bucharest Nine;org;OR_Buc9
Q205995;Caribbean Community;org;OR_Caric
Q190028;Central American Integration System;org;OR_CAIS
Q7779;Commonwealth of Independent States;org;OR_CIS
Q7785;Commonwealth of Nations;org;OR_comwl
Q1045401;Community of Latin American and Caribbean States;org;OR_CLACS
Q8908;Council of Europe;org;OR_CoEur
Q20036753;Craiova Group;org;OR_Craio
Q337456;East African Community;org;OR_EAC
Q193272;Economic Community of West African States;org;OR_ECWAS
Q225950;Economic Cooperation Organization;org;OR_ECO
Q4173083;Eurasian Economic Union;org;OR_EEU
Q458;European Union;org;OR_EU
Q62005941;Prosur;org;OR_XXX
Q326816;GUAM Organization for Democracy and Economic Development;org;OR_Guam
Q217172;Cooperation Council for the Arab States of the Gulf;org;OR_CCASG
Q2297691;Indian Ocean Rim Association;org;OR_IORA
Q499151;Latin American Parliament;org;OR_LAP
Q97994672;Lublin Triangle;org;OR_Lubli
Q1918937;Melanesian Spearhead Group;org;OR_Melan
Q4264;Mercosur;org;OR_Merco
Q7184;NATO;org;OR_NATO
Q146165;Nordic Council;org;OR_Norco
Q123759;Organization of American States;org;OR_OAS
Q757276;Pacific Islands Forum;org;OR_PIF
Q3117794;Polynesian Leaders Group;org;OR_Polyn
Q11523819;Regional Comprehensive Economic Partnership;org;OR_RCEP
Q485207;Shanghai Cooperation Organisation;org;OR_Shang
Q145700;South Asian Association for Regional Cooperation;org;OR_SAARC
Q3935730;TAKM;org;OR_TAKM
Q32069506;Three Seas Initiative;org;OR_3seas
Q13231715;Trilateral Cooperation Secretariat;org;OR_Trila
Q596850;Turkic Council;org;OR_TurCo
Q4230;Union of South American Nations;org;OR_USAN
Q244323;Visegrád Group;org;OR_Viseg
Q1642145;West Nordic Council;org;OR_WNC
Q889;Afghanistan;sta;ST_AFG
Q916;Angola;sta;ST_AGO
Q222;Albania;sta;ST_ALB
Q228;Andorra;sta;ST_AND
Q878;United Arab Emirates;sta;ST_ARE
Q414;Argentina;sta;ST_ARG
Q399;Armenia;sta;ST_ARM
Q781;Antigua and Barbuda;sta;ST_ATG
Q408;Australia;sta;ST_AUS
Q40;Austria;sta;ST_AUT
Q227;Azerbaijan;sta;ST_AZE
Q967;Burundi;sta;ST_BDI
Q31;Belgium;sta;ST_BEL
Q962;Benin;sta;ST_BEN
Q965;Burkina Faso;sta;ST_BFA
Q902;Bangladesh;sta;ST_BGD
Q219;Bulgaria;sta;ST_BGR
Q398;Bahrain;sta;ST_BHR
Q778;The Bahamas;sta;ST_BHS
Q225;Bosnia and Herzegovina;sta;ST_BIH
Q184;Belarus;sta;ST_BLR
Q242;Belize;sta;ST_BLZ
Q750;Bolivia;sta;ST_BOL
Q155;Brazil;sta;ST_BRA
Q244;Barbados;sta;ST_BRB
Q921;Brunei;sta;ST_BRN
Q917;Bhutan;sta;ST_BTN
Q963;Botswana;sta;ST_BWA
Q929;Central African Republic;sta;ST_CAF
Q16;Canada;sta;ST_CAN
Q39;Switzerland;sta;ST_CHE
Q298;Chile;sta;ST_CHL
Q148;China;sta;ST_CHN
Q1008;Côte d Ivoire;sta;ST_CIV
Q1009;Cameroon;sta;ST_CMR
Q974;Democratic Republic of the Congo;sta;ST_COD
Q971;Republic of the Congo;sta;ST_COG
Q739;Colombia;sta;ST_COL
Q970;Comoros;sta;ST_COM
Q1011;Cape Verde;sta;ST_CPV
Q800;Costa Rica;sta;ST_CRI
Q241;Cuba;sta;ST_CUB
Q229;Cyprus;sta;ST_CYP
Q213;Czech Republic;sta;ST_CZE
Q183;Germany;sta;ST_DEU
Q977;Djibouti;sta;ST_DJI
Q784;Dominica;sta;ST_DMA
Q35;Denmark;sta;ST_DNK
Q786;Dominican Republic;sta;ST_DOM
Q262;Algeria;sta;ST_DZA
Q736;Ecuador;sta;ST_ECU
Q79;Egypt;sta;ST_EGY
Q986;Eritrea;sta;ST_ERI
Q29;Spain;sta;ST_ESP
Q191;Estonia;sta;ST_EST
Q115;Ethiopia;sta;ST_ETH
Q33;Finland;sta;ST_FIN
Q712;Fiji;sta;ST_FJI
Q142;France;sta;ST_FRA
Q702;Federated States of Micronesia;sta;ST_FSM
Q1000;Gabon;sta;ST_GAB
Q145;United Kingdom;sta;ST_GBR
Q230;Georgia;sta;ST_GEO
Q117;Ghana;sta;ST_GHA
Q1006;Guinea;sta;ST_GIN
Q1005;The Gambia;sta;ST_GMB
Q1007;Guinea-Bissau;sta;ST_GNB
Q983;Equatorial Guinea;sta;ST_GNQ
Q41;Greece;sta;ST_GRC
Q769;Grenada;sta;ST_GRD
Q774;Guatemala;sta;ST_GTM
Q734;Guyana;sta;ST_GUY
Q783;Honduras;sta;ST_HND
Q224;Croatia;sta;ST_HRV
Q790;Haiti;sta;ST_HTI
Q28;Hungary;sta;ST_HUN
Q252;Indonesia;sta;ST_IDN
Q668;India;sta;ST_IND
Q27;Ireland;sta;ST_IRL
Q794;Iran;sta;ST_IRN
Q796;Iraq;sta;ST_IRQ
Q189;Iceland;sta;ST_ISL
Q801;Israel;sta;ST_ISR
Q38;Italy;sta;ST_ITA
Q766;Jamaica;sta;ST_JAM
Q810;Jordan;sta;ST_JOR
Q17;Japan;sta;ST_JPN
Q232;Kazakhstan;sta;ST_KAZ
Q114;Kenya;sta;ST_KEN
Q813;Kyrgyzstan;sta;ST_KGZ
Q424;Cambodia;sta;ST_KHM
Q710;Kiribati;sta;ST_KIR
Q763;Saint Kitts and Nevis;sta;ST_KNA
Q884;South Korea;sta;ST_KOR
Q817;Kuwait;sta;ST_KWT
Q819;Laos;sta;ST_LAO
Q822;Lebanon;sta;ST_LBN
Q1014;Liberia;sta;ST_LBR
Q1016;Libya;sta;ST_LBY
Q760;Saint Lucia;sta;ST_LCA
Q347;Liechtenstein;sta;ST_LIE
Q854;Sri Lanka;sta;ST_LKA
Q1013;Lesotho;sta;ST_LSO
Q37;Lithuania;sta;ST_LTU
Q32;Luxembourg;sta;ST_LUX
Q211;Latvia;sta;ST_LVA
Q1028;Morocco;sta;ST_MAR
Q235;Monaco;sta;ST_MCO
Q217;Moldova;sta;ST_MDA
Q1019;Madagascar;sta;ST_MDG
Q826;Maldives;sta;ST_MDV
Q96;Mexico;sta;ST_MEX
Q709;Marshall Islands;sta;ST_MHL
Q221;North Macedonia;sta;ST_MKD
Q912;Mali;sta;ST_MLI
Q233;Malta;sta;ST_MLT
Q836;Myanmar;sta;ST_MMR
Q236;Montenegro;sta;ST_MNE
Q711;Mongolia;sta;ST_MNG
Q1029;Mozambique;sta;ST_MOZ
Q1025;Mauritania;sta;ST_MRT
Q1027;Mauritius;sta;ST_MUS
Q1020;Malawi;sta;ST_MWI
Q833;Malaysia;sta;ST_MYS
Q1030;Namibia;sta;ST_NAM
Q1032;Niger;sta;ST_NER
Q1033;Nigeria;sta;ST_NGA
Q811;Nicaragua;sta;ST_NIC
Q29999;Kingdom of the Netherlands;sta;ST_NLD
Q20;Norway;sta;ST_NOR
Q837;Nepal;sta;ST_NPL
Q697;Nauru;sta;ST_NRU
Q664;New Zealand;sta;ST_NZL
Q842;Oman;sta;ST_OMN
Q843;Pakistan;sta;ST_PAK
Q804;Panama;sta;ST_PAN
Q419;Peru;sta;ST_PER
Q928;Philippines;sta;ST_PHL
Q695;Palau;sta;ST_PLW
Q691;Papua New Guinea;sta;ST_PNG
Q36;Poland;sta;ST_POL
Q423;North Korea;sta;ST_PRK
Q45;Portugal;sta;ST_PRT
